encoder,task,design,fold,repeat,grid,n_train,median_nn_train_dist
uni_v2,CCRCC,blocked,5,2,4,55061,875.0
uni_v2,CCRCC,blocked_buffered,5,2,4,49356,1312.0015243893583
uni_v2,CCRCC,blocked,5,2,6,56385,579.0587189568947
uni_v2,CCRCC,blocked_buffered,5,2,6,46770,957.1128460113781
uni_v2,CCRCC,blocked,5,2,10,57024,380.0
uni_v2,CCRCC,blocked_buffered,5,2,10,41217,761.0006570299397
uni_v2,CCRCC,blocked,5,3,4,55080,874.0
uni_v2,CCRCC,blocked_buffered,5,3,4,49216,1311.0003813881979
uni_v2,CCRCC,blocked,5,3,6,56201,580.3283553299804
uni_v2,CCRCC,blocked_buffered,5,3,6,47357,1001.0044954944009
uni_v2,CCRCC,blocked,5,3,10,57024,380.0
uni_v2,CCRCC,blocked_buffered,5,3,10,41060,761.0006570299397
uni_v2,CCRCC,blocked,5,4,4,55308,788.7296748492752
uni_v2,CCRCC,blocked_buffered,5,4,4,49315,1217.7561332220832
uni_v2,CCRCC,blocked,5,4,6,56333,579.3461832100044
uni_v2,CCRCC,blocked_buffered,5,4,6,46874,957.226201062215
uni_v2,CCRCC,blocked,5,4,10,57101,380.0
uni_v2,CCRCC,blocked_buffered,5,4,10,41810,787.0304949619169
uni_v2,COAD,blocked,0,0,4,4623,3142.638700200836
uni_v2,COAD,blocked_buffered,0,0,4,3410,4005.0
uni_v2,COAD,blocked,0,0,6,4887,2190.0
uni_v2,COAD,blocked_buffered,0,0,6,3021,2923.0
uni_v2,COAD,blocked,0,0,10,5042,1153.9155081720671
uni_v2,COAD,blocked_buffered,0,0,10,1782,2041.5690044669075
uni_v2,COAD,blocked,0,1,4,4547,3287.0
uni_v2,COAD,blocked_buffered,0,1,4,3359,4079.48244266353
uni_v2,COAD,blocked,0,1,6,4862,2189.0
uni_v2,COAD,blocked_buffered,0,1,6,2919,2922.0
uni_v2,COAD,blocked,0,1,10,4986,1201.0
uni_v2,COAD,blocked_buffered,0,1,10,1835,2130.52693012785
uni_v2,COAD,blocked,0,2,4,4502,2921.0
uni_v2,COAD,blocked_buffered,0,2,4,3124,3653.0
uni_v2,COAD,blocked,0,2,6,4818,2002.800039944078
uni_v2,COAD,blocked_buffered,0,2,6,2912,2920.0
uni_v2,COAD,blocked,0,2,10,5016,1154.2313459614584
uni_v2,COAD,blocked_buffered,0,2,10,1723,2003.0
uni_v2,COAD,blocked,0,3,4,4465,2920.0
uni_v2,COAD,blocked_buffered,0,3,4,3134,3652.0
uni_v2,COAD,blocked,0,3,6,4822,1827.0
