JobID|JobName|Account|Partition|NodeList|State|Elapsed|Timelimit|ReqCPUS|ReqMem|MaxRSS|Submit|Start|End
2305553|operon-505ec70d|rc_htzhu_pi|spill|c130403|COMPLETED|04:23:18|08:00:00|4|24G||2026-09-23T23:26:57|2026-09-24T00:09:04|2026-09-24T04:32:22
2305553.batch|batch|rc_htzhu_pi||c130403|COMPLETED|04:23:18||4||6664284K|2026-09-24T00:09:04|2026-09-24T00:09:04|2026-09-24T04:32:22
2305553.extern|extern|rc_htzhu_pi||c130403|COMPLETED|04:23:18||4|||2026-09-24T00:09:04|2026-09-24T00:09:04|2026-09-24T04:32:22
2305585|operon-564d1cb5|rc_htzhu_pi|spill|c0912|COMPLETED|02:33:56|06:00:00|4|24G||2026-09-23T23:27:03|2026-09-23T23:58:48|2026-09-24T02:32:44
2305585.batch|batch|rc_htzhu_pi||c0912|COMPLETED|02:33:56||4||8179668K|2026-09-23T23:58:48|2026-09-23T23:58:48|2026-09-24T02:32:44
2305585.extern|extern|rc_htzhu_pi||c0912|COMPLETED|02:33:56||4|||2026-09-23T23:58:48|2026-09-23T23:58:48|2026-09-24T02:32:44
2305765|operon-a77048cb|rc_htzhu_pi|spill|c151408|TIMEOUT|00:40:27|00:40:00|4|32G||2026-09-23T23:27:28|2026-09-23T23:27:55|2026-09-24T00:08:22
2305765.batch|batch|rc_htzhu_pi||c151408|FAILED|00:40:27||4||5146152K|2026-09-23T23:27:55|2026-09-23T23:27:55|2026-09-24T00:08:22
2305765.extern|extern|rc_htzhu_pi||c151408|COMPLETED|00:40:27||4|||2026-09-23T23:27:55|2026-09-23T23:27:55|2026-09-24T00:08:22
2306316|operon-e3c90805|rc_htzhu_pi|spill|c151415|COMPLETED|00:45:14|01:50:00|4|32G||2026-09-23T23:29:44|2026-09-23T23:33:55|2026-09-24T00:19:09
2306316.batch|batch|rc_htzhu_pi||c151415|COMPLETED|00:45:14||4||8395728K|2026-09-23T23:33:55|2026-09-23T23:33:55|2026-09-24T00:19:09
2306316.extern|extern|rc_htzhu_pi||c151415|COMPLETED|00:45:14||4|||2026-09-23T23:33:55|2026-09-23T23:33:55|2026-09-24T00:19:09
2306317|operon-b4fb5e75|rc_htzhu_pi|spill|c151411|COMPLETED|00:49:23|01:50:00|4|32G||2026-09-23T23:29:47|2026-09-23T23:35:54|2026-09-24T00:25:17
2306317.batch|batch|rc_htzhu_pi||c151411|COMPLETED|00:49:23||4||10254484K|2026-09-23T23:35:54|2026-09-23T23:35:54|2026-09-24T00:25:17
2306317.extern|extern|rc_htzhu_pi||c151411|COMPLETED|00:49:23||4|||2026-09-23T23:35:54|2026-09-23T23:35:54|2026-09-24T00:25:17
2306333|operon-240495fa|rc_htzhu_pi|spill|c0312|COMPLETED|00:58:08|01:50:00|4|32G||2026-09-23T23:29:50|2026-09-23T23:35:54|2026-09-24T00:34:02
2306333.batch|batch|rc_htzhu_pi||c0312|COMPLETED|00:58:08||4||10273144K|2026-09-23T23:35:54|2026-09-23T23:35:54|2026-09-24T00:34:02
2306333.extern|extern|rc_htzhu_pi||c0312|COMPLETED|00:58:08||4|||2026-09-23T23:35:54|2026-09-23T23:35:54|2026-09-24T00:34:02
2306742|operon-00b65d64|rc_htzhu_pi|spill|c130406|COMPLETED|00:00:46|00:15:00|1|4G||2026-09-23T23:35:56|2026-09-23T23:36:51|2026-09-23T23:37:37
2306742.batch|batch|rc_htzhu_pi||c130406|COMPLETED|00:00:46||1||646756K|2026-09-23T23:36:51|2026-09-23T23:36:51|2026-09-23T23:37:37
2306742.extern|extern|rc_htzhu_pi||c130406|COMPLETED|00:00:46||1|||2026-09-23T23:36:51|2026-09-23T23:36:51|2026-09-23T23:37:37
2306997|operon-33f36125|rc_htzhu_pi|spill|c0412|COMPLETED|00:03:00|03:00:00|4|16G||2026-09-23T23:36:53|2026-09-23T23:38:38|2026-09-23T23:41:38
2306997.batch|batch|rc_htzhu_pi||c0412|COMPLETED|00:03:00||4||536052K|2026-09-23T23:38:38|2026-09-23T23:38:38|2026-09-23T23:41:38
2306997.extern|extern|rc_htzhu_pi||c0412|COMPLETED|00:03:00||4|||2026-09-23T23:38:38|2026-09-23T23:38:38|2026-09-23T23:41:38
2307191|operon-a3700ef8|rc_htzhu_pi|spill|c0402|COMPLETED|00:00:19|00:15:00|1|4G||2026-09-23T23:39:19|2026-09-23T23:40:27|2026-09-23T23:40:46
2307191.batch|batch|rc_htzhu_pi||c0402|COMPLETED|00:00:19||1||311600K|2026-09-23T23:40:27|2026-09-23T23:40:27|2026-09-23T23:40:46
2307191.extern|extern|rc_htzhu_pi||c0402|COMPLETED|00:00:19||1|||2026-09-23T23:40:27|2026-09-23T23:40:27|2026-09-23T23:40:46
2307474|operon-706cec05|rc_htzhu_pi|spill|c0408|COMPLETED|00:00:15|00:15:00|1|4G||2026-09-23T23:41:46|2026-09-23T23:42:15|2026-09-23T23:42:30
2307474.batch|batch|rc_htzhu_pi||c0408|COMPLETED|00:00:15||1||418252K|2026-09-23T23:42:15|2026-09-23T23:42:15|2026-09-23T23:42:30
2307474.extern|extern|rc_htzhu_pi||c0408|COMPLETED|00:00:15||1|||2026-09-23T23:42:15|2026-09-23T23:42:15|2026-09-23T23:42:30
2307631|operon-a4355a04|rc_htzhu_pi|spill|c130406|COMPLETED|00:03:32|03:00:00|4|16G||2026-09-23T23:43:58|2026-09-23T23:45:00|2026-09-23T23:48:32
2307631.batch|batch|rc_htzhu_pi||c130406|COMPLETED|00:03:32||4||319544K|2026-09-23T23:45:00|2026-09-23T23:45:00|2026-09-23T23:48:32
2307631.extern|extern|rc_htzhu_pi||c130406|COMPLETED|00:03:32||4|||2026-09-23T23:45:00|2026-09-23T23:45:00|2026-09-23T23:48:32
2309643|operon-a2a79214|rc_htzhu_pi|spill|c151401|COMPLETED|00:23:04|00:40:00|4|16G||2026-09-24T00:09:40|2026-09-24T00:10:58|2026-09-24T00:34:02
2309643.batch|batch|rc_htzhu_pi||c151401|COMPLETED|00:23:04||4||4187096K|2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:34:02
2309643.extern|extern|rc_htzhu_pi||c151401|COMPLETED|00:23:04||4|||2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:34:02
2309687|operon-beccbade|rc_htzhu_pi|spill|c151408|COMPLETED|00:23:26|01:40:00|4|48G||2026-09-24T00:09:43|2026-09-24T00:10:58|2026-09-24T00:34:24
2309687.batch|batch|rc_htzhu_pi||c151408|COMPLETED|00:23:26||4||7083596K|2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:34:24
2309687.extern|extern|rc_htzhu_pi||c151408|COMPLETED|00:23:26||4|||2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:34:24
2309688|operon-5ef92e17|rc_htzhu_pi|spill|c151411|COMPLETED|00:15:25|02:20:00|4|48G||2026-09-24T00:09:46|2026-09-24T00:10:58|2026-09-24T00:26:23
2309688.batch|batch|rc_htzhu_pi||c151411|COMPLETED|00:15:25||4||4336592K|2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:26:23
2309688.extern|extern|rc_htzhu_pi||c151411|COMPLETED|00:15:25||4|||2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:26:23
2309705|operon-9be2ce13|rc_htzhu_pi|spill|c0412|COMPLETED|00:37:17|01:40:00|4|48G||2026-09-24T00:09:49|2026-09-24T00:10:58|2026-09-24T00:48:15
2309705.batch|batch|rc_htzhu_pi||c0412|COMPLETED|00:37:17||4||7975840K|2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:48:15
2309705.extern|extern|rc_htzhu_pi||c0412|COMPLETED|00:37:17||4|||2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:48:15
2309706|operon-b9591fe3|rc_htzhu_pi|spill|c151607|COMPLETED|00:18:44|02:20:00|4|48G||2026-09-24T00:09:52|2026-09-24T00:10:58|2026-09-24T00:29:42
2309706.batch|batch|rc_htzhu_pi||c151607|COMPLETED|00:18:44||4||5929280K|2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:29:42
2309706.extern|extern|rc_htzhu_pi||c151607|COMPLETED|00:18:44||4|||2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:29:42
2309712|operon-66cd0598|rc_htzhu_pi|spill|c151414|COMPLETED|00:28:05|01:40:00|4|48G||2026-09-24T00:09:55|2026-09-24T00:10:58|2026-09-24T00:39:03
2309712.batch|batch|rc_htzhu_pi||c151414|COMPLETED|00:28:05||4||7991664K|2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:39:03
2309712.extern|extern|rc_htzhu_pi||c151414|COMPLETED|00:28:05||4|||2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:39:03
2309713|operon-0ccea811|rc_htzhu_pi|spill|c151413|COMPLETED|00:19:52|02:20:00|4|48G||2026-09-24T00:09:58|2026-09-24T00:10:58|2026-09-24T00:30:50
2309713.batch|batch|rc_htzhu_pi||c151413|COMPLETED|00:19:52||4||5697420K|2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:30:50
2309713.extern|extern|rc_htzhu_pi||c151413|COMPLETED|00:19:52||4|||2026-09-24T00:10:58|2026-09-24T00:10:58|2026-09-24T00:30:50
