JobID,track,JobName,Account,Partition,NodeList,State,Elapsed,Timelimit,ReqCPUS,ReqMem,Submit,Start,End,MaxRSS,max_rss_gb
2305537,A4a_Scores,operon-b8c6e91a,rc_htzhu_pi,spill,c151608,COMPLETED,02:30:28,08:00:00,4,24G,2026-09-23T23:26:42,2026-09-23T23:49:09,2026-09-24T02:19:37,7725732K,7.367832183837891
2305540,A4a_Scores,operon-9e3b32a1,rc_htzhu_pi,spill,c151410,COMPLETED,01:29:10,06:00:00,4,24G,2026-09-23T23:26:47,2026-09-23T23:45:54,2026-09-24T01:15:04,9438412K,9.001171112060547
2305552,A4a_Scores,operon-69d1754b,rc_htzhu_pi,spill,c151603,COMPLETED,02:22:30,06:00:00,4,24G,2026-09-23T23:26:52,2026-09-23T23:49:57,2026-09-24T02:12:27,5885820K,5.613155364990234
2305553,A4a_Scores,operon-505ec70d,rc_htzhu_pi,spill,c130403,COMPLETED,04:23:18,08:00:00,4,24G,2026-09-23T23:26:57,2026-09-24T00:09:04,2026-09-24T04:32:22,6664284K,6.355556488037109
2305585,A4a_Scores,operon-564d1cb5,rc_htzhu_pi,spill,c0912,COMPLETED,02:33:56,06:00:00,4,24G,2026-09-23T23:27:03,2026-09-23T23:58:48,2026-09-24T02:32:44,8179668K,7.800739288330078
2305765,D4_Expansion,operon-a77048cb,rc_htzhu_pi,spill,c151408,TIMEOUT,00:40:27,00:40:00,4,32G,2026-09-23T23:27:28,2026-09-23T23:27:55,2026-09-24T00:08:22,5146152K,4.907752990722656
2306316,D4_Expansion,operon-e3c90805,rc_htzhu_pi,spill,c151415,COMPLETED,00:45:14,01:50:00,4,32G,2026-09-23T23:29:44,2026-09-23T23:33:55,2026-09-24T00:19:09,8395728K,8.006790161132812
2306317,D4_Expansion,operon-b4fb5e75,rc_htzhu_pi,spill,c151411,COMPLETED,00:49:23,01:50:00,4,32G,2026-09-23T23:29:47,2026-09-23T23:35:54,2026-09-24T00:25:17,10254484K,9.779438018798828
2306333,D4_Expansion,operon-240495fa,rc_htzhu_pi,spill,c0312,COMPLETED,00:58:08,01:50:00,4,32G,2026-09-23T23:29:50,2026-09-23T23:35:54,2026-09-24T00:34:02,10273144K,9.797233581542969
2306742,A4b_HCP,operon-00b65d64,rc_htzhu_pi,spill,c130406,COMPLETED,00:00:46,00:15:00,1,4G,2026-09-23T23:35:56,2026-09-23T23:36:51,2026-09-23T23:37:37,646756K,0.6167945861816406
2306997,B1B2_Inference,operon-33f36125,rc_htzhu_pi,spill,c0412,COMPLETED,00:03:00,03:00:00,4,16G,2026-09-23T23:36:53,2026-09-23T23:38:38,2026-09-23T23:41:38,536052K,0.5112190246582031
2307191,A4b_HCP,operon-a3700ef8,rc_htzhu_pi,spill,c0402,COMPLETED,00:00:19,00:15:00,1,4G,2026-09-23T23:39:19,2026-09-23T23:40:27,2026-09-23T23:40:46,311600K,0.2971649169921875
2307474,A4b_HCP,operon-706cec05,rc_htzhu_pi,spill,c0408,COMPLETED,00:00:15,00:15:00,1,4G,2026-09-23T23:41:46,2026-09-23T23:42:15,2026-09-23T23:42:30,418252K,0.3988761901855469
2307631,B1B2_Inference,operon-a4355a04,rc_htzhu_pi,spill,c130406,COMPLETED,00:03:32,03:00:00,4,16G,2026-09-23T23:43:58,2026-09-23T23:45:00,2026-09-23T23:48:32,319544K,0.30474090576171875
2309643,D4_Expansion,operon-a2a79214,rc_htzhu_pi,spill,c151401,COMPLETED,00:23:04,00:40:00,4,16G,2026-09-24T00:09:40,2026-09-24T00:10:58,2026-09-24T00:34:02,4187096K,3.9931259155273438
2309687,D4_Expansion,operon-beccbade,rc_htzhu_pi,spill,c151408,COMPLETED,00:23:26,01:40:00,4,48G,2026-09-24T00:09:43,2026-09-24T00:10:58,2026-09-24T00:34:24,7083596K,6.755443572998047
2309688,D4_Expansion,operon-5ef92e17,rc_htzhu_pi,spill,c151411,COMPLETED,00:15:25,02:20:00,4,48G,2026-09-24T00:09:46,2026-09-24T00:10:58,2026-09-24T00:26:23,4336592K,4.1356964111328125
2309705,D4_Expansion,operon-9be2ce13,rc_htzhu_pi,spill,c0412,COMPLETED,00:37:17,01:40:00,4,48G,2026-09-24T00:09:49,2026-09-24T00:10:58,2026-09-24T00:48:15,7975840K,7.606353759765625
2309706,D4_Expansion,operon-b9591fe3,rc_htzhu_pi,spill,c151607,COMPLETED,00:18:44,02:20:00,4,48G,2026-09-24T00:09:52,2026-09-24T00:10:58,2026-09-24T00:29:42,5929280K,5.65460205078125
2309712,D4_Expansion,operon-66cd0598,rc_htzhu_pi,spill,c151414,COMPLETED,00:28:05,01:40:00,4,48G,2026-09-24T00:09:55,2026-09-24T00:10:58,2026-09-24T00:39:03,7991664K,7.6214447021484375
2309713,D4_Expansion,operon-0ccea811,rc_htzhu_pi,spill,c151413,COMPLETED,00:19:52,02:20:00,4,48G,2026-09-24T00:09:58,2026-09-24T00:10:58,2026-09-24T00:30:50,5697420K,5.433483123779297
