encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_T,n_C,n_E,score,weighting,subset,alpha,w3_variant,feasible_level,guaranteed_level,K,auc,auc_holdout,clip_rate,clip_rate_test,no_support,classifier_converged,n_eff_median,n_eff_frac,n_C_used,n_E_used,frac_morph_joined,n_infinite,n_spot_gene,frac_infinite,n_test_points_infinite,width_mean_spotgene,width_median,sigma_clip_lo,sigma_clip_hi,sigma_lo_hit_guard,sigma_clip_rate_cal,sigma_clip_rate_test,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,n_cells,n_slides
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,scaled_clip,none,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.5057318932530916,1.5442124428616484,0.1206466094120931,0.6892151252133327,False,0.02,0.0194687278863426,0.9001963768612147,1.5743211424458623,1.5911222336315298,2.0455472622130952,0.0772939992565848,0.0225096238822004,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,scaled_clip,none,all,0.2,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.1591209450862523,1.1837342344529984,0.1206466094120931,0.6892151252133327,False,0.02,0.0194687278863426,0.7936622804177186,1.2117449232913702,1.224533048187786,1.713252216254957,0.1331330320080612,0.0732046875742202,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,scaled_clip,W1,all,0.1,,,,,0.5548066566126101,0.4971931324398714,0.0050134288272157,0.0106689891677099,0,True,10772.041729715713,0.96437258099514,11170,18371,,0,918550,0.0,0,1.5061315428973272,1.5446419595271248,0.1206466094120931,0.6892151252133327,False,0.02,0.0194687278863426,0.9002536184839879,1.5747486289902586,1.5915515400176596,2.0455628468380964,0.0772817700474987,0.0224646114685134,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,scaled_clip,W1b,morph_joined,0.1,,,,,0.5105392547013425,0.5067484596957634,0.0050039246467817,0.0063953140876217,0,True,10181.254849836749,0.9989457270247986,10192,16731,0.911377407670695,0,836550,0.0,0,1.5096460259021764,1.5434799021919114,0.1206466094120931,0.6892151252133327,False,0.02,0.0194687278863426,0.9005118107804011,1.5775554278810386,1.593858292414112,2.046047632982452,0.0768060165607815,0.0226821726588174,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,scaled_clip,none,morph_joined,0.1,,,,,,,0.0,0.0,0,True,10192.0,1.0,10192,16731,0.911377407670695,0,836550,0.0,0,1.5096169737301697,1.5434788017420753,0.1206466094120931,0.6892151252133327,False,0.02,0.0194687278863426,0.9004996210259961,1.577522137587684,1.5938252262922146,2.046048923375683,0.0768046829911812,0.0226956959828226,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,scaled_clip,none,morph_joined,0.2,,,,,,,0.0,0.0,0,True,10192.0,1.0,10192,16731,0.911377407670695,0,836550,0.0,0,1.1605552595238782,1.181690419349966,0.1206466094120931,0.6892151252133327,False,0.02,0.0194687278863426,0.7930763890779237,1.2124460074188137,1.224816896638148,1.714683992249239,0.1329892709048209,0.0739343400172552,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,scaled_clip,W2,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.5057318932530916,1.5442124428616484,0.1206466094120931,0.6892151252133327,False,0.02,0.0194687278863426,0.9001963768612147,1.5743211424458623,1.5911222336315298,2.0455472622130952,0.0772939992565848,0.0225096238822004,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,scaled_clip,W3,all,0.1,nominal,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.5057318932530916,1.5442124428616484,0.1206466094120931,0.6892151252133327,False,0.02,0.0194687278863426,0.9001963768612147,1.5743211424458623,1.5911222336315298,2.0455472622130952,0.0772939992565848,0.0225096238822004,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,scaled_clip,W3,all,0.2,nominal,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.1591209450862523,1.1837342344529984,0.1206466094120931,0.6892151252133327,False,0.02,0.0194687278863426,0.7936622804177186,1.2117449232913702,1.224533048187786,1.713252216254957,0.1331330320080612,0.0732046875742202,1200,24
hoptimus0,CCRCC,shipped,random,0,1,0,spot,35996,11170,18371,scaled_clip,W3,all,8.951750067138126e-05,feasible_level,0.9999104824993286,0.9999104824993286,11170.0,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,7.042797717568976,6.825313303527491,0.1206466094120931,0.6892151252133327,False,0.02,0.0194687278863426,0.9999400910302066,7.366391784681888,7.451134339086637,7.592955723755576,5.99089697933825e-05,0.0,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,abs,none,all,0.1,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.6084471041603203,1.574797231586906,,,False,,,0.8845702336111094,1.60844710416032,1.60844710416032,2.1741803367895005,0.0732168153364095,0.0422129510524809,1200,24
hoptimus0,CCRCC,shipped,random,0,2,0,spot,35996,11170,18371,abs,none,all,0.2,,,,,,,0.0,0.0,0,True,11170.0,1.0,11170,18371,,0,918550,0.0,0,1.2443706123829292,1.22055056265039,,,False,,,0.7778807257546164,1.2443706123829292,1.2443706123829292,1.826522464847473,0.1299710077973216,0.0921482664480619,1200,24
