encoder,task,design,fold,n_train,n_test,n_genes,alpha,pearson,n_test_samples
phikon,PRAD,leave_one_sample,4,58894,3816,50,0.0078125,0.2753784656524658,1
phikon,PRAD,leave_one_sample,5,58636,4074,50,0.0078125,0.1762569397687912,1
phikon,PRAD,leave_one_sample,6,61292,1418,50,0.0078125,0.4442891776561737,1
phikon,PRAD,leave_one_sample,7,60746,1964,50,0.0078125,0.3445599675178528,1
phikon,PRAD,leave_one_sample,8,60375,2335,50,0.0078125,0.3072509169578552,1
phikon,PRAD,leave_one_sample,9,61077,1633,50,0.0078125,0.2536044418811798,1
phikon,PRAD,leave_one_sample,10,60859,1851,50,0.0078125,0.38536205887794495,1
phikon,PRAD,leave_one_sample,11,60959,1751,50,0.0078125,0.5380929708480835,1
phikon,PRAD,leave_one_sample,12,60110,2600,50,0.0078125,0.43284115195274353,1
phikon,PRAD,leave_one_sample,13,59628,3082,50,0.0078125,0.20701152086257935,1
phikon,PRAD,leave_one_sample,14,60890,1820,50,0.0078125,0.3965204656124115,1
phikon,PRAD,leave_one_sample,15,59974,2736,50,0.0078125,0.5674536228179932,1
phikon,PRAD,leave_one_sample,16,59156,3554,50,0.0078125,0.3629980981349945,1
phikon,PRAD,leave_one_sample,17,59520,3190,50,0.0078125,0.47440749406814575,1
phikon,PRAD,leave_one_sample,18,59618,3092,50,0.0078125,0.2669695019721985,1
phikon,PRAD,leave_one_sample,19,58854,3856,50,0.0078125,0.0958852544426918,1
phikon,PRAD,leave_one_sample,20,58631,4079,50,0.0078125,0.3204820156097412,1
phikon,PRAD,leave_one_sample,21,59935,2775,50,0.0078125,0.46841487288475037,1
phikon,PRAD,leave_one_sample,22,60101,2609,50,0.0078125,0.028496509417891502,1
phikon,READ,patient,0,3819,4588,50,0.0078125,0.23323793709278107,2
phikon,READ,patient,1,4588,3819,50,0.0078125,0.07304197549819946,2
phikon,READ,random_spot,0,3819,4588,50,0.0078125,0.5027146339416504,4
phikon,READ,random_spot,1,4588,3819,50,0.0078125,0.5106351375579834,4
phikon,READ,leave_one_sample,0,6716,1691,50,0.0078125,0.31126460433006287,1
phikon,READ,leave_one_sample,1,6279,2128,50,0.0078125,0.22122253477573395,1
phikon,READ,leave_one_sample,2,6022,2385,50,0.0078125,0.3071633279323578,1
phikon,READ,leave_one_sample,3,6204,2203,50,0.0078125,0.3092441260814667,1
phikon,SKCM,patient,0,1741,1293,50,0.0078125,0.5950952172279358,1
phikon,SKCM,patient,1,1293,1741,50,0.0078125,0.47575560212135315,1
phikon,SKCM,random_spot,0,1741,1293,50,0.0078125,0.8279260993003845,2
phikon,SKCM,random_spot,1,1293,1741,50,0.0078125,0.8168678283691406,2
phikon,SKCM,leave_one_sample,0,1293,1741,50,0.0078125,0.47575560212135315,1
phikon,SKCM,leave_one_sample,1,1741,1293,50,0.0078125,0.5950952172279358,1
