encoder,task,n_spots,n_slides,chance,acc_random,acc_block,drop,test_frac_random,test_frac_block,nn_dist_random,nn_dist_block,nn_dist_ratio,slides_in_block_test,acc_drop
conch_v1,LUNG,5206,2,0.5,0.9919536685489622,0.9852849494199508,0.0066687191290114,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,0.006668719129011347
conch_v1,LYMPH_IDC,19964,4,0.25,0.973625038375588,0.9583555491752278,0.0152694892003603,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.015269489200360198
conch_v1,PAAD,7571,3,0.3333333333333333,0.992758110227992,0.9942246371801456,-0.0014665269521537,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,-0.0014665269521536572
conch_v1,PRAD,62710,23,0.0434782608695652,0.9468207653260258,0.9049388594635286,0.0418819058624971,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.04188190586249718
conch_v1,READ,8407,4,0.25,0.9627756013555,0.951103131442898,0.0116724699126019,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.011672469912601957
conch_v1,SKCM,3034,2,0.5,0.9980879541108988,0.9879958922153016,0.0100920618955971,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.010092061895597193
conch_v15,CCRCC,74220,24,0.0416666666666666,0.9755064329566392,0.9576789194251876,0.0178275135314514,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.017827513531451622
conch_v15,COAD,15651,4,0.25,0.9814354698886314,0.975306508710452,0.0061289611781794,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,0.006128961178179404
conch_v15,HCC,4196,2,0.5,0.9921322592598232,0.9938397774371204,-0.0017075181772969,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,-0.001707518177297196
conch_v15,IDC,35536,4,0.25,0.9944593914018682,0.9857436368376724,0.0087157545641957,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.008715754564195821
conch_v15,LUNG,5206,2,0.5,0.9885231368165436,0.9856099838031058,0.0029131530134378,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,0.0029131530134377526
conch_v15,LYMPH_IDC,19964,4,0.25,0.96928502709495,0.950695556652683,0.0185894704422669,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.018589470442266998
conch_v15,PAAD,7571,3,0.3333333333333333,0.9884231439505892,0.9790134976840484,0.0094096462665408,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,0.009409646266540728
conch_v15,PRAD,62710,23,0.0434782608695652,0.929943505652495,0.8970645304238317,0.0328789752286632,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.03287897522866323
conch_v15,READ,8407,4,0.25,0.9524230499220948,0.935107115749165,0.0173159341729297,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.01731593417292976
conch_v15,SKCM,3034,2,0.5,0.9948872484279828,0.9572031344183244,0.0376841140096586,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.03768411400965843
uni_v1,CCRCC,74220,24,0.0416666666666666,0.9950879425364932,0.9862331851990596,0.0088547573374334,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.008854757337433683
uni_v1,COAD,15651,4,0.25,0.998838138730792,0.9986333421073522,0.0002047966234396,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,0.00020479662343975136
uni_v1,HCC,4196,2,0.5,0.9984023410335674,0.994336569579288,0.0040657714542793,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,0.004065771454279443
uni_v1,IDC,35536,4,0.25,0.9990616454455769,0.9944491296225096,0.004612515823067,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.004612515823067209
uni_v1,LUNG,5206,2,0.5,0.9994892747701736,0.9991909385113268,0.0002983362588466,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,0.0002983362588467875
uni_v1,LYMPH_IDC,19964,4,0.25,0.9804688336677068,0.9621176307167356,0.0183512029509711,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.018351202950971146
uni_v1,PAAD,7571,3,0.3333333333333333,0.9974169001330944,0.9932291666666666,0.0041877334664276,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,0.004187733466427757
uni_v1,PRAD,62710,23,0.0434782608695652,0.9754326743329528,0.9546271375310986,0.0208055368018541,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.020805536801854152
uni_v1,READ,8407,4,0.25,0.9866253673658258,0.9771760224717458,0.00944934489408,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.009449344894080003
uni_v1,SKCM,3034,2,0.5,1.0,0.9944388632152346,0.0055611367847654,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.002739726027398,2,0.005561136784765441
uni_v2,CCRCC,74220,24,0.0416666666666666,0.9949159541366588,0.986743016116374,0.0081729380202846,0.3,0.3124898949070331,218.0022935659164,581.1239110551209,2.6656779685641654,24,0.008172938020284737
uni_v2,COAD,15651,4,0.25,0.9988435629197236,0.9986325512519092,0.0002110116678144,0.3000447255766404,0.3161459331672097,365.0,1201.0,3.2904109589041095,4,0.00021101166781445357
uni_v2,HCC,4196,2,0.5,0.9991408934707904,0.997650882870607,0.0014900106001833,0.300047664442326,0.3102955195424213,220.0,583.1654996654038,2.6507522712063807,2,0.001490010600183389
uni_v2,IDC,35536,4,0.25,0.9996919051970152,0.9970514514829292,0.0026404537140858,0.3000056280954525,0.3037201710941017,470.0,1883.0,4.006382978723404,4,0.002640453714086055
uni_v2,LUNG,5206,2,0.5,0.9981209166072428,0.9983818770226538,-0.0002609604154111,0.3000384172109105,0.3171340760660776,365.0,731.0,2.002739726027398,2,-0.00026096041541101567
uni_v2,LYMPH_IDC,19964,4,0.25,0.9839748452482098,0.9741044304244082,0.0098704148238015,0.3000400721298337,0.3059507112803045,365.0013698604431,1270.0015748021733,3.4794433108230622,4,0.009870414823801577
uni_v2,PAAD,7571,3,0.3333333333333333,0.9979857283469736,0.9983478327228328,-0.000362104375859,0.3000924580636639,0.3144894994056267,365.0,1096.0,3.002739726027398,3,-0.00036210437585915134
uni_v2,PRAD,62710,23,0.0434782608695652,0.9774527316050956,0.9545299622837108,0.0229227693213845,0.3,0.3181629724126933,287.0,607.0,2.1149825783972127,23,0.022922769321384817
uni_v2,READ,8407,4,0.25,0.9963836636965764,0.9934851992176734,0.0028984644789029,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4,0.0028984644789029623
