encoder,task,design,fold,n_train,n_test,n_genes,alpha,pearson,n_test_samples
phikon,PAAD,random_spot,0,5561,2010,50,0.0078125,0.7514045238494873,3
phikon,PAAD,random_spot,1,3961,3610,50,0.0078125,0.7442705631256104,3
phikon,PAAD,random_spot,2,5620,1951,50,0.0078125,0.7569715976715088,3
phikon,PAAD,leave_one_sample,0,5561,2010,50,0.0078125,0.3704465627670288,1
phikon,PAAD,leave_one_sample,1,5620,1951,50,0.0078125,0.4202757179737091,1
phikon,PAAD,leave_one_sample,2,3961,3610,50,0.0078125,0.5365532040596008,1
phikon,PRAD,patient,0,36819,25891,50,0.0078125,0.4188092947006225,8
phikon,PRAD,patient,1,25891,36819,50,0.0078125,0.2656218707561493,15
phikon,PRAD,random_spot,0,36819,25891,50,0.0078125,0.5750100612640381,23
phikon,PRAD,random_spot,1,25891,36819,50,0.0078125,0.5703237056732178,23
phikon,PRAD,leave_one_sample,0,58961,3749,50,0.0078125,0.193593680858612,1
phikon,PRAD,leave_one_sample,1,60775,1935,50,0.0078125,0.5130628347396851,1
phikon,PRAD,leave_one_sample,2,60916,1794,50,0.0078125,0.4598503112792969,1
phikon,PRAD,leave_one_sample,3,59713,2997,50,0.0078125,0.3262969255447387,1
phikon,PRAD,leave_one_sample,4,58894,3816,50,0.0078125,0.2753784656524658,1
phikon,PRAD,leave_one_sample,5,58636,4074,50,0.0078125,0.1762569397687912,1
phikon,PRAD,leave_one_sample,6,61292,1418,50,0.0078125,0.4442891776561737,1
phikon,PRAD,leave_one_sample,7,60746,1964,50,0.0078125,0.3445599675178528,1
phikon,PRAD,leave_one_sample,8,60375,2335,50,0.0078125,0.3072509169578552,1
phikon,PRAD,leave_one_sample,9,61077,1633,50,0.0078125,0.2536044418811798,1
phikon,PRAD,leave_one_sample,10,60859,1851,50,0.0078125,0.3853620588779449,1
phikon,PRAD,leave_one_sample,11,60959,1751,50,0.0078125,0.5380929708480835,1
phikon,PRAD,leave_one_sample,12,60110,2600,50,0.0078125,0.4328411519527435,1
phikon,PRAD,leave_one_sample,13,59628,3082,50,0.0078125,0.2070115208625793,1
