encoder,task,n_spots,n_slides,chance,acc_random,acc_block,drop,test_frac_random,test_frac_block,nn_dist_random,nn_dist_block,nn_dist_ratio,slides_in_block_test
virchow2,CCRCC,74220,24,0.041666666666666664,0.9956150952439881,0.9880417486278734,0.00757334661611464,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
virchow2,COAD,15651,4,0.25,0.9990629171201288,0.9984070977634608,0.0006558193566680304,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
virchow2,HCC,4196,2,0.5,1.0,0.9985380116959064,0.0014619883040936088,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
virchow2,IDC,35536,4,0.25,0.9997721877917486,0.9943193280405251,0.005452859751223449,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
virchow2,LUNG,5206,2,0.5,0.9994892747701736,0.9991909385113269,0.00029833625884667647,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
virchow2,LYMPH_IDC,19964,4,0.25,0.9823041684813263,0.9686849900169332,0.013619178464393089,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
virchow2,PAAD,7571,3,0.3333333333333333,0.998246769549465,0.9981322496947497,0.00011451985471533366,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
virchow2,PRAD,62710,23,0.043478260869565216,0.982163684116488,0.956975509286431,0.025188174830056975,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
virchow2,READ,8407,4,0.25,0.9975169787361695,0.9965825832263209,0.0009343955098486401,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
virchow2,SKCM,3034,2,0.5,1.0,0.9938271604938271,0.006172839506172867,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
hoptimus0,CCRCC,74220,24,0.041666666666666664,0.9961036234340795,0.9915700083325838,0.004533615101495747,0.3,0.31248989490703316,218.0022935659164,581.1239110551209,2.6656779685641654,24
hoptimus0,COAD,15651,4,0.25,0.9990683413090607,0.998164372290574,0.0009039690184867721,0.30004472557664047,0.31614593316720974,365.0,1201.0,3.2904109589041095,4
hoptimus0,HCC,4196,2,0.5,1.0,0.997650882870607,0.002349117129393008,0.300047664442326,0.31029551954242135,220.0,583.1654996654038,2.6507522712063807,2
hoptimus0,IDC,35536,4,0.25,1.0,0.9972230473645426,0.002776952635457408,0.3000056280954525,0.30372017109410177,470.0,1883.0,4.006382978723404,4
hoptimus0,LUNG,5206,2,0.5,0.9994892747701736,0.9991909385113269,0.00029833625884667647,0.3000384172109105,0.31713407606607763,365.0,731.0,2.0027397260273974,2
hoptimus0,LYMPH_IDC,19964,4,0.25,0.9801348321826607,0.9670639361787909,0.013070896003869792,0.3000400721298337,0.30595071128030454,365.0013698604431,1270.0015748021733,3.4794433108230622,4
hoptimus0,PAAD,7571,3,0.3333333333333333,0.9991233847747324,0.9994791666666667,-0.00035578189193430365,0.30009245806366397,0.31448949940562676,365.0,1096.0,3.0027397260273974,3
hoptimus0,PRAD,62710,23,0.043478260869565216,0.9841586467755967,0.9609584476576165,0.023200199117980214,0.3,0.31816297241269337,287.0,607.0,2.1149825783972127,23
hoptimus0,READ,8407,4,0.25,0.9985031720300552,0.9870424760676896,0.011460695962365652,0.3001070536457714,0.3208040918282384,217.68095920406083,575.8966921245511,2.645599754017474,4
hoptimus0,SKCM,3034,2,0.5,1.0,0.9909115263545643,0.009088473645435746,0.3002636783124588,0.3170731707317073,365.0,1096.0,3.0027397260273974,2
