encoder,task,held_slide,n_slides,m_test,n_train,n_genes,pearson_cross,pearson_within,site_shift,test_slides_in_train
phikon,PRAD,MEND146,23,1964,60746,50,0.34456509351730347,0.5858685374259949,0.2413034439086914,23
phikon,PRAD,MEND147,23,2335,60375,50,0.3072963356971741,0.5750359892845154,0.2677396535873413,23
phikon,PRAD,MEND148,23,1633,61077,50,0.25351619720458984,0.5821574926376343,0.32864129543304443,23
phikon,PRAD,MEND149,23,1851,60859,50,0.38534408807754517,0.5855773687362671,0.20023328065872192,23
phikon,PRAD,MEND150,23,1751,60959,50,0.5380931496620178,0.5648940205574036,0.026800870895385742,23
phikon,PRAD,MEND151,23,2600,60110,50,0.43284958600997925,0.5729210376739502,0.14007145166397095,23
phikon,PRAD,MEND152,23,3082,59628,50,0.20701460540294647,0.5579495429992676,0.3509349375963211,23
phikon,PRAD,MEND153,23,1820,60890,50,0.39654549956321716,0.5670329928398132,0.17048749327659607,23
phikon,PRAD,MEND154,23,2736,59974,50,0.5674608945846558,0.5818206667900085,0.014359772205352783,23
phikon,PRAD,MEND156,23,3554,59156,50,0.36303871870040894,0.5628593564033508,0.1998206377029419,23
phikon,PRAD,MEND157,23,3190,59520,50,0.47443944215774536,0.5756109952926636,0.10117155313491821,23
phikon,PRAD,MEND158,23,3092,59618,50,0.2669838070869446,0.5843656063079834,0.3173817992210388,23
phikon,PRAD,MEND159,23,3856,58854,50,0.0959116742014885,0.5621691346168518,0.4662574604153633,23
phikon,PRAD,MEND160,23,4079,58631,50,0.32045987248420715,0.563005805015564,0.2425459325313568,23
phikon,PRAD,MEND161,23,2775,59935,50,0.46843433380126953,0.5711123943328857,0.10267806053161621,23
phikon,PRAD,MEND162,23,2609,60101,50,0.028469203040003777,0.576539933681488,0.5480707306414843,23
phikon,READ,ZEN36,4,1691,6716,50,0.31127122044563293,0.5146524906158447,0.2033812701702118,4
phikon,READ,ZEN40,4,2128,6279,50,0.2212383896112442,0.5181685090065002,0.29693011939525604,4
phikon,READ,ZEN48,4,2385,6022,50,0.3071472644805908,0.5109866857528687,0.20383942127227783,4
phikon,READ,ZEN49,4,2203,6204,50,0.30922067165374756,0.5225287675857544,0.21330809593200684,4
